
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
25,1967,11,1967-11-23,23-225,KAN,,OAK,L 22-44,4,7,1.75,0,,5,22,4.40,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0
26,1967,12,1967-12-03,23-235,KAN,,BUF,W 23-13,15,46,3.07,0,,2,20,10.00,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0,,0,0,0
27,1967,13,1967-12-10,23-242,KAN,@,NYJ,W 21-7,16,55,3.44,0,,5,41,8.20,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0
28,1967,14,1967-12-17,23-249,KAN,@,DEN,W 38-24,20,169,8.45,0,,2,7,3.50,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
29,1968,1,1968-09-09,24-150,KAN,@,HOU,W 26-21,8,53,6.63,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0
30,1968,2,1968-09-15,24-156,KAN,,NYJ,L 19-20,7,41,5.86,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0
31,1968,3,1968-09-22,24-163,KAN,,DEN,W 34-2,4,0,0.00,0,,2,12,6.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0
32,1968,5,1968-10-05,24-176,KAN,@,BUF,W 18-7,22,39,1.77,0,,2,20,10.00,0,0,1,0.00,0,0,1,0.0,0.00,-45.00,0,0,,0,0,0,,0,0,0
33,1968,6,1968-10-13,24-184,KAN,,CIN,W 13-3,18,75,4.17,0,,4,32,8.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0
34,1968,7,1968-10-20,24-191,KAN,,OAK,W 24-10,24,109,4.54,0,,1,4,4.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0
35,1968,8,1968-10-27,24-198,KAN,,SDG,W 27-20,15,89,5.93,1,,5,73,14.60,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,1,6
36,1968,9,1968-11-03,24-205,KAN,@,OAK,L 21-38,10,29,2.90,0,,7,47,6.71,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0
37,1968,10,1968-11-10,24-212,KAN,@,CIN,W 16-9,9,46,5.11,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0
38,1968,11,1968-11-17,24-219,KAN,,BOS,W 31-17,6,-6,-1.00,0,,4,62,15.50,1,0,0,,0,0,0,,,,0,0,,0,2,4,2.00,0,1,6
39,1968,12,1968-11-28,24-230,KAN,,HOU,W 24-10,9,14,1.56,0,,4,60,15.00,1,0,0,,0,0,0,,,,0,0,,0,0,0,,0,1,6
40,1968,13,1968-12-08,24-240,KAN,@,SDG,W 40-3,21,69,3.29,1,,3,33,11.00,1,0,0,,0,0,0,,,,0,0,,0,0,0,,0,2,12
41,1968,14,1968-12-14,24-246,KAN,@,DEN,W 30-7,11,6,0.55,1,,1,16,16.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
42,1969,1,1969-09-14,25-155,KAN,@,SDG,W 27-9,1,1,1.00,0,,7,40,5.71,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0
43,1969,2,1969-09-21,25-162,KAN,@,BOS,W 31-0,14,79,5.64,1,,5,49,9.80,1,0,0,,0,0,0,,,,0,0,,0,0,0,,0,2,12
44,1969,3,1969-09-28,25-169,KAN,@,CIN,L 19-24,10,4,0.40,0,,2,25,12.50,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0
45,1969,4,1969-10-05,25-176,KAN,@,DEN,W 26-13,13,67,5.15,0,,1,7,7.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0
46,1969,5,1969-10-12,25-183,KAN,,HOU,W 24-0,14,22,1.57,1,,2,16,8.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,1,6
47,1969,6,1969-10-19,25-190,KAN,,MIA,W 17-10,8,36,4.50,1,,2,38,19.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,1,6
