
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1966,3,1966-09-25,24-276,DET,,ATL,W 28-10,2,4,2.00,0,,0,0,,0
2,1966,6,1966-10-16,24-297,DET,@,BAL,L 14-45,3,4,1.33,0,,0,0,,0
3,1966,7,1966-10-23,24-304,DET,@,SFO,L 24-27,1,1,1.00,0,,0,0,,0
4,1966,8,1966-10-30,24-311,DET,,GNB,L 7-31,0,0,,0,,1,8,8.00,0
5,1966,9,1966-11-06,24-318,DET,@,CHI,T 10-10,10,42,4.20,0,,2,5,2.50,0
,,,5 Games,,,,,1-3-1,16,51,3.19,0,,3,13,4.33,0
