
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,2003,1,2003-09-07,24-185,DET,,ARI,W 42-24,3,4,1.33,0,2,1,7,7.00,0,0,0,,0
2,2003,2,2003-09-14,24-192,DET,@,GNB,L 6-31,0,0,,0,3,1,2,2.00,0,0,0,,0
3,2003,3,2003-09-21,24-199,DET,,MIN,L 13-23,0,0,,0,2,2,21,10.50,0,0,0,,0
4,2003,4,2003-09-28,24-206,DET,@,DEN,L 16-20,1,19,19.00,0,0,0,0,,0,3,57,19.00,0
5,2003,5,2003-10-05,24-213,DET,@,SFO,L 17-24,0,0,,0,0,0,0,,0,4,66,16.50,0
6,2003,8,2003-11-02,24-241,DET,,OAK,W 23-13,,,,,0,,,,,,,,
7,2003,9,2003-11-09,24-248,DET,,CHI,W 12-10,6,4,0.67,0,2,0,0,,0,0,0,,0
,,,7 Games,,,,,3-4-0,10,27,2.70,0,9,4,30,7.50,0,7,123,17.57,0
