
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1987,3,1987-10-04,26-016,NWE,,CLE,L 10-20,0,0,,0,,0,0,,0,0,0,,0
2,1987,4,1987-10-11,26-023,NWE,,BUF,W 14-7,13,43,3.31,0,,0,0,,0,0,0,,0
3,1987,5,1987-10-18,26-030,NWE,@,HOU,W 21-7,2,-1,-0.50,0,,1,22,22.00,0,1,14,14.00,0
4,1987,11,1987-11-29,26-072,NWE,,PHI,L 31-34,0,0,,0,,0,0,,0,0,0,,0
5,1987,12,1987-12-06,26-079,NWE,@,DEN,L 20-31,0,0,,0,,0,0,,0,0,0,,0
6,1987,13,1987-12-13,26-086,NWE,,NYJ,W 42-20,1,2,2.00,0,,0,0,,0,0,0,,0
,,,6 Games,,,,,3-3-0,16,44,2.75,0,,1,22,22.00,0,1,14,14.00,0
