
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1977,3,1977-10-02,24-198,CHI,,NOR,L 24-42,0,0,,0,1,13,13.00,0
2,1977,4,1977-10-10,24-206,CHI,,RAM,W 24-23,0,0,,0,4,104,26.00,0
3,1977,5,1977-10-16,24-212,CHI,@,MIN,L 16-22,0,0,,0,1,10,10.00,0
4,1977,7,1977-10-30,24-226,CHI,@,GNB,W 26-0,3,12,4.00,0,0,0,,0
5,1977,8,1977-11-06,24-233,CHI,@,HOU,L 0-47,3,8,2.67,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
6,1978,7,1978-10-16,25-212,CHI,@,DEN,L 7-16,2,11,5.50,0,0,0,,0
,,,6 Games,,,,,2-4-0,8,31,3.88,0,6,127,21.17,0
