
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1983,1,1983-09-05,24-243,WAS,,DAL,L 30-31,0,0,,0,0,0,,0,,
2,1983,2,1983-09-11,24-249,WAS,@,PHI,W 23-13,0,0,,0,0,0,,0,,
3,1983,3,1983-09-18,24-256,WAS,,KAN,W 27-12,0,0,,0,1,3,3.00,0,0,0
4,1983,4,1983-09-25,24-263,WAS,@,SEA,W 27-17,0,0,,0,0,0,,0,,
5,1983,5,1983-10-02,24-270,WAS,,RAI,W 37-35,0,0,,0,1,7,7.00,0,0,0
6,1983,6,1983-10-09,24-277,WAS,@,STL,W 38-14,2,6,3.00,0,0,0,,0,0,0
7,1983,7,1983-10-17,24-285,WAS,@,GNB,L 47-48,0,0,,0,1,15,15.00,0,0,0
8,1983,8,1983-10-23,24-291,WAS,,DET,W 38-17,10,4,0.40,3,1,7,7.00,0,3,18
9,1983,9,1983-10-31,24-299,WAS,@,SDG,W 27-24,0,0,,0,0,0,,0,,
10,1983,10,1983-11-06,24-305,WAS,,STL,W 45-7,1,1,1.00,1,0,0,,0,1,6
11,1983,12,1983-11-20,24-319,WAS,@,RAM,W 42-20,3,0,0.00,0,0,0,,0,0,0
12,1983,13,1983-11-27,24-326,WAS,,PHI,W 28-24,0,0,,0,0,0,,0,,
13,1983,14,1983-12-04,24-333,WAS,,ATL,W 37-21,0,0,,0,0,0,,0,,
14,1983,15,1983-12-11,24-340,WAS,@,DAL,W 31-10,0,0,,0,0,0,,0,,
15,1983,16,1983-12-17,24-346,WAS,,NYG,W 31-22,0,0,,0,6,109,18.17,0,0,0
,,,15 Games,,,,,13-2-0,16,11,0.69,4,10,141,14.10,0,4,24
