
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1989,2,1989-09-17,30-031,WAS,,PHI,L 37-42,1,-1,-1.00,0,0,0,,0
2,1989,8,1989-10-29,30-073,MIA,@,BUF,L 17-31,0,0,,0,4,66,16.50,0
3,1989,9,1989-11-05,30-080,MIA,,IND,W 19-13,0,0,,0,2,18,9.00,0
,,,3 Games,,,,,1-2-0,1,-1,-1.00,0,6,84,14.00,0
