
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,1987,3,1987-10-04,25-219,GNB,@,MIN,W 23-16,1,-2,-2.00,0,,3,46,15.33,0,2,46,23.00,0,1,1,1.00,0
2,1987,4,1987-10-11,25-226,GNB,,DET,L 16-19,1,4,4.00,0,,7,81,11.57,0,3,41,13.67,0,0,0,,0
3,1987,5,1987-10-18,25-233,GNB,,PHI,W 16-10,8,18,2.25,0,,0,0,,0,0,0,,0,0,0,,0
4,1987,13,1987-12-13,25-289,GNB,,MIN,W 16-10,0,0,,0,,0,0,,0,0,0,,0,0,0,,0
5,1987,14,1987-12-19,25-295,GNB,@,NYG,L 10-20,0,0,,0,,0,0,,0,0,0,,0,0,0,,0
,,,5 Games,,,,,3-2-0,10,20,2.00,0,,10,127,12.70,0,5,87,17.40,0,1,1,1.00,0
