
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2006,15,2006-12-24,23-313,NYG,,NOR,L 7-30
2,2006,16,2006-12-30,23-319,NYG,@,WAS,W 34-28
,,,2 Games,,,,,1-1-0
