
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,2008,15,2008-12-21,23-310,BUF,@,DEN,W 30-23,2,0,0.00,0,0,0,,0
2,2008,16,2008-12-28,23-317,BUF,,NWE,L 0-13,4,5,1.25,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
3,2009,1,2009-09-14,24-211,BUF,@,NWE,L 24-25,2,8,4.00,0,0,0,,0
4,2009,2,2009-09-20,24-217,BUF,,TAM,W 33-20,2,9,4.50,0,1,26,26.00,0
5,2009,3,2009-09-27,24-224,BUF,,NOR,L 7-27,1,5,5.00,0,0,0,,0
6,2009,5,2009-10-11,24-238,BUF,,CLE,L 3-6,,,,,,,,
7,2009,8,2009-11-01,24-259,BUF,,HOU,L 10-31,,,,,,,,
,,,7 Games,,,,,2-5-0,11,27,2.45,0,1,26,26.00,0
