
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1992,2,1992-09-13,23-214,DET,,MIN,W 31-17,0,0,,0,0,0,,0
2,1992,3,1992-09-20,23-221,DET,@,WAS,L 10-13,0,0,,0,0,0,,0
3,1992,13,1992-12-06,23-298,DET,@,GNB,L 10-38,0,0,,0,1,27,27.00,0
4,1992,14,1992-12-13,23-305,DET,,CLE,W 24-14,0,0,,0,0,0,,0
5,1992,15,1992-12-20,23-312,DET,,CHI,W 16-3,3,12,4.00,0,0,0,,0
6,1992,16,1992-12-28,23-320,DET,@,SFO,L 6-24,1,10,10.00,0,0,0,,0
,,,6 Games,,,,,3-3-0,4,22,5.50,0,1,27,27.00,0
