
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,1965,5,1965-10-10,23-035,KAN,@,DEN,W 31-23,2,71,35.50,0,0,0,,0
2,1965,7,1965-10-24,23-049,KAN,@,HOU,L 36-38,3,62,20.67,0,1,8,8.00,0
3,1965,8,1965-10-31,23-056,KAN,,OAK,W 14-7,1,24,24.00,0,2,2,1.00,0
4,1965,9,1965-11-07,23-063,KAN,,NYJ,L 10-13,3,69,23.00,0,1,0,0.00,0
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
5,1966,6,1966-10-16,24-041,KAN,,OAK,L 13-34,1,24,24.00,0,0,0,,0
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
6,1967,6,1967-10-22,25-047,NYJ,@,MIA,W 33-14,1,14,14.00,0,0,0,,0
7,1967,7,1967-10-29,25-054,NYJ,,BOS,W 30-23,2,36,18.00,0,0,0,,0
8,1967,8,1967-11-05,25-061,NYJ,@,KAN,L 18-42,3,48,16.00,0,0,0,,0
9,1967,9,1967-11-12,25-068,NYJ,,BUF,W 20-10,1,47,47.00,0,0,0,,0
10,1967,11,1967-12-03,25-089,NYJ,,DEN,L 24-33,2,59,29.50,0,0,0,,0
,,,10 Games,,,,,5-5-0,19,454,23.89,0,4,10,2.50,0
