
,,,,,,,,,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Int,Yds,TD
1,1953,13,1953-12-27,23-037,DET,,CLE,W 17-16,1,12,0
,,,,,,,,,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Int,Yds,TD
2,1954,13,1954-12-26,24-036,DET,@,CLE,L 10-56,0,0,0
,,,,,,,,,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Int,Yds,TD
3,1957,13,1957-12-22,27-032,DET,@,SFO,W 31-27,1,10,0
4,1957,14,1957-12-29,27-039,DET,,CLE,W 59-14,0,0,0
,,,,,,,,,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Int,Yds,TD
5,1958,13,1958-12-21,28-031,NYG,,CLE,W 10-0,0,0,0
6,1958,14,1958-12-28,28-038,NYG,,BAL,L 17-23,0,0,0
,,,6 Games,,,,,4-2-0,2,22,0
