
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1987,3,1987-10-04,23-319,SDG,@,CIN,W 10-9,1,3,3.00,0,0,0,,0
2,1987,4,1987-10-11,23-326,SDG,@,TAM,W 17-13,0,0,,0,0,0,,0
3,1987,5,1987-10-18,23-333,SDG,@,RAI,W 23-17,0,0,,0,1,2,2.00,0
,,,3 Games,,,,,3-0-0,1,3,3.00,0,1,2,2.00,0
