
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1997,1,1997-08-31,24-248,NWE,,SDG,W 41-7,0,0,,0,0,0,0,,0,0,0,,0,,
2,1997,2,1997-09-07,24-255,NWE,@,IND,W 31-6,0,0,,0,0,0,0,,0,1,23,23.00,0,0,0
3,1997,3,1997-09-14,24-262,NWE,,NYJ,W 27-24,0,0,,0,0,0,0,,0,2,47,23.50,0,0,0
4,1997,4,1997-09-21,24-269,NWE,,CHI,W 31-3,0,0,,0,0,0,0,,0,0,0,,0,,
5,1997,5,1997-10-06,24-284,NWE,@,DEN,L 13-34,0,0,,0,,0,0,,0,0,0,,0,,
6,1997,6,1997-10-12,24-290,NWE,,BUF,W 33-6,1,3,3.00,0,0,0,0,,0,2,61,30.50,0,0,0
7,1997,8,1997-10-27,24-305,NWE,,GNB,L 10-28,0,0,,0,0,0,0,,0,0,0,,0,,
8,1997,9,1997-11-02,24-311,NWE,@,MIN,L 18-23,0,0,,0,0,0,0,,0,1,12,12.00,0,0,0
9,1997,10,1997-11-09,24-318,NWE,@,BUF,W 31-10,0,0,,0,0,0,0,,0,2,134,67.00,1,1,6
10,1997,11,1997-11-16,24-325,NWE,@,TAM,L 7-27,4,41,10.25,0,2,0,0,,0,1,9,9.00,0,0,0
11,1997,12,1997-11-23,24-332,NWE,,MIA,W 27-24,0,0,,0,0,0,0,,0,1,26,26.00,0,0,0
12,1997,13,1997-11-30,24-339,NWE,,IND,W 20-17,0,0,,0,,0,0,,0,0,0,,0,,
13,1997,14,1997-12-07,24-346,NWE,@,JAX,W 26-20,2,9,4.50,0,0,0,0,,0,2,30,15.00,0,0,0
14,1997,15,1997-12-13,24-352,NWE,,PIT,L 21-24,5,19,3.80,0,1,1,2,2.00,0,2,39,19.50,0,0,0
15,1997,16,1997-12-22,24-361,NWE,@,MIA,W 14-12,10,29,2.90,0,2,1,6,6.00,0,1,5,5.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
16,1998,1,1998-09-07,25-255,NWE,@,DEN,L 21-27,1,3,3.00,0,1,1,9,9.00,0,5,170,34.00,0,0,0
17,1998,2,1998-09-13,25-261,NWE,,IND,W 29-6,2,6,3.00,0,2,2,6,3.00,0,2,74,37.00,0,0,0
18,1998,3,1998-09-20,25-268,NWE,,TEN,W 27-16,0,0,,0,4,4,31,7.75,0,2,68,34.00,0,0,0
19,1998,4,1998-10-04,25-282,NWE,@,NOR,W 30-27,1,-2,-2.00,0,2,2,56,28.00,0,1,15,15.00,0,0,0
20,1998,5,1998-10-11,25-289,NWE,,KAN,W 40-10,3,29,9.67,0,1,0,0,,0,2,50,25.00,0,0,0
21,1998,6,1998-10-19,25-297,NWE,,NYJ,L 14-24,1,1,1.00,0,1,0,0,,0,2,41,20.50,0,0,0
22,1998,7,1998-10-25,25-303,NWE,@,MIA,L 9-12,0,0,,0,0,0,0,,0,4,73,18.25,0,0,0
23,1998,8,1998-11-01,25-310,NWE,@,IND,W 21-16,1,4,4.00,0,0,0,0,,0,3,58,19.33,0,0,0
24,1998,9,1998-11-08,25-317,NWE,,ATL,L 10-41,0,0,,0,2,1,5,5.00,0,5,103,20.60,0,0,0
25,1998,10,1998-11-15,25-324,NWE,@,BUF,L 10-13,2,-2,-1.00,0,1,0,0,,0,2,36,18.00,0,0,0
26,1998,11,1998-11-23,25-332,NWE,,MIA,W 26-23,1,0,0.00,0,1,0,0,,0,2,49,24.50,0,0,0
27,1998,12,1998-11-29,25-338,NWE,,BUF,W 25-21,0,0,,0,5,3,24,8.00,1,4,75,18.75,0,1,6
28,1998,13,1998-12-06,25-345,NWE,@,PIT,W 23-9,1,6,6.00,0,0,0,0,,0,2,37,18.50,0,0,0
29,1998,14,1998-12-13,25-352,NWE,@,STL,L 18-32,1,2,2.00,0,0,0,0,,0,2,52,26.00,0,0,0
30,1998,15,1998-12-20,25-359,NWE,,SFO,W 24-21,2,-1,-0.50,0,0,0,0,,0,2,44,22.00,0,0,0
31,1998,16,1998-12-27,26-001,NWE,@,NYJ,L 10-31,2,2,1.00,0,5,1,15,15.00,0,5,140,28.00,0,0,0
,,,31 Games,,,,,19-12-0,40,149,3.73,0,30,16,154,9.63,1,60,1471,24.52,1,2,12
