
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2001,14,2001-12-23,27-316,PIT,,DET,W 47-14,7,17,2.43,0,0,0,0,,0,0,0
2,2001,15,2001-12-30,27-323,PIT,@,CIN,L 23-26,,,,,,,,,,,
3,2001,16,2002-01-06,27-330,PIT,,CLE,W 28-7,11,67,6.09,1,1,1,0,0.00,0,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
4,2002,1,2002-09-08,28-210,CLE,,KAN,L 39-40,,,,,1,,,,,,
5,2002,2,2002-09-15,28-217,CLE,,CIN,W 20-7,,,,,0,,,,,,
6,2002,4,2002-09-29,28-231,CLE,@,PIT,L 13-16,,,,,0,,,,,,
7,2002,11,2002-11-24,28-287,CLE,@,NOR,W 24-15,,,,,,,,,,,
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
8,2003,9,2003-11-09,29-272,CLE,@,KAN,L 20-41,0,0,,0,2,1,2,2.00,1,1,6
,,,8 Games,,,,,4-4-0,18,84,4.67,1,4,2,2,1.00,1,2,12
