
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,2006,2,2006-09-17,23-086,CAR,@,MIN,L 13-16,,,,,,,,,
2,2006,3,2006-09-24,23-093,CAR,@,TAM,W 26-24,0,0,,0,,0,0,,0
3,2006,6,2006-10-15,23-114,CAR,@,BAL,W 23-21,1,1,1.00,0,0,0,0,,0
4,2006,7,2006-10-22,23-121,CAR,@,CIN,L 14-17,0,0,,0,,0,0,,0
5,2006,11,2006-11-26,23-156,CAR,@,WAS,L 13-17,2,16,8.00,0,0,0,0,,0
6,2006,12,2006-12-04,23-164,CAR,@,PHI,L 24-27,4,9,2.25,0,0,0,0,,0
7,2006,13,2006-12-10,23-170,CAR,,NYG,L 13-27,0,0,,0,,0,0,,0
8,2006,14,2006-12-17,23-177,CAR,,PIT,L 3-37,1,-3,-3.00,0,1,1,6,6.00,0
9,2006,15,2006-12-24,23-184,CAR,@,ATL,W 10-3,,,,,,,,,
,,,9 Games,,,,,3-6-0,8,23,2.88,0,1,1,6,6.00,0
