
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1969,2,1969-09-21,22-131,HOU,@,BUF,W 17-3,3,9,3.00,0,,0,0,,0,0,0
2,1969,9,1969-11-09,22-180,HOU,,CIN,T 31-31,6,22,3.67,0,,0,0,,0,0,0
3,1969,11,1969-11-23,22-194,HOU,@,MIA,W 32-7,1,4,4.00,0,,0,0,,0,0,0
4,1969,13,1969-12-06,22-207,HOU,,NYJ,L 26-34,1,7,7.00,0,,2,17,8.50,1,1,6
,,,4 Games,,,,,2-1-1,11,42,3.82,0,,2,17,8.50,1,1,6
