
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,1973,5,1973-10-14,23-148,BUF,,BAL,W 31-13,1,8,8.00,0,,0,0,,0,0,0,,0,0,0,,0
2,1973,6,1973-10-21,23-155,BUF,@,MIA,L 6-27,1,12,12.00,0,,1,7,7.00,0,0,0,,0,0,0,,0
3,1973,14,1973-12-16,23-211,BUF,@,NYJ,W 34-14,0,0,,0,,0,0,,0,1,0,0.00,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
4,1974,4,1974-10-06,24-140,GNB,,BUF,L 7-27,0,0,,0,,0,0,,0,1,22,22.00,0,0,0,,0
5,1974,9,1974-11-10,24-175,CHI,@,GNB,L 3-20,0,0,,0,,0,0,,0,1,20,20.00,0,0,0,,0
6,1974,11,1974-11-24,24-189,CHI,@,DET,L 17-34,0,0,,0,,0,0,,0,0,0,,0,2,14,7.00,0
7,1974,13,1974-12-08,24-203,CHI,@,SDG,L 21-28,0,0,,0,,0,0,,0,0,0,,0,2,8,4.00,0
,,,7 Games,,,,,2-5-0,2,20,10.00,0,,1,7,7.00,0,3,42,14.00,0,4,22,5.50,0
