
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1994,9,1994-11-06,23-344,RAI,@,KAN,L 3-13,0,0,,0,1,1,4,4.00,0,0,0,,0
2,1994,10,1994-11-13,23-351,RAI,@,RAM,W 20-17,6,32,5.33,0,0,0,0,,0,0,0,,0
3,1994,11,1994-11-20,23-358,RAI,,NOR,W 24-19,6,20,3.33,0,0,0,0,,0,0,0,,0
4,1994,12,1994-11-27,24-000,RAI,,PIT,L 3-21,0,0,,0,1,1,2,2.00,0,0,0,,0
5,1994,13,1994-12-05,24-008,RAI,@,SDG,W 24-17,5,21,4.20,0,0,0,0,,0,0,0,,0
6,1994,14,1994-12-11,24-014,RAI,,DEN,W 23-13,4,18,4.50,0,1,0,0,,0,0,0,,0
7,1994,15,1994-12-18,24-021,RAI,@,SEA,W 17-16,1,2,2.00,0,0,0,0,,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
8,1995,1,1995-09-03,24-280,OAK,,SDG,W 17-7,0,0,,0,,,,,,0,0,,0
9,1995,2,1995-09-10,24-287,OAK,@,WAS,W 20-8,1,-2,-2.00,0,0,0,0,,0,0,0,,0
10,1995,3,1995-09-17,24-294,OAK,@,KAN,L 17-23,0,0,,0,,,,,,0,0,,0
11,1995,8,1995-10-22,24-329,OAK,,IND,W 30-17,4,21,5.25,0,0,0,0,,0,2,37,18.50,0
12,1995,9,1995-11-05,24-343,OAK,@,CIN,W 20-17,0,0,,0,,,,,,0,0,,0
13,1995,10,1995-11-12,24-350,OAK,@,NYG,W 17-13,0,0,,0,0,,,,,0,0,,0
14,1995,12,1995-11-27,25-000,OAK,@,SDG,L 6-12,0,0,,0,,,,,,0,0,,0
15,1995,13,1995-12-03,25-006,OAK,,KAN,L 23-29,0,0,,0,0,0,0,,0,3,55,18.33,0
,,,15 Games,,,,,10-5-0,27,112,4.15,0,3,2,6,3.00,0,5,92,18.40,0
