
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts
1,1968,3,1968-09-29,24-327,GNB,,DET,L 17-23,,1,22,22.00,0,0,0,,0,0,0
2,1968,4,1968-10-06,24-334,GNB,@,ATL,W 38-7,,3,55,18.33,2,1,15,15.00,0,2,12
3,1968,6,1968-10-20,24-348,GNB,@,DET,T 14-14,,1,16,16.00,0,0,0,,0,0,0
4,1968,9,1968-11-10,25-003,GNB,@,MIN,L 10-14,,1,13,13.00,0,0,0,,0,0,0
5,1968,12,1968-12-01,25-024,GNB,@,SFO,L 20-27,,1,18,18.00,0,0,0,,0,0,0
6,1968,13,1968-12-07,25-030,GNB,,BAL,L 3-16,,1,24,24.00,0,0,0,,0,0,0
,,,6 Games,,,,,1-4-1,,8,148,18.50,2,1,15,15.00,0,2,12
