
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1973,1,1973-09-16,23-237,NOR,,ATL,L 7-62,2,2,1.00,0,,0,0,,0
2,1973,12,1973-12-02,23-314,NOR,@,GNB,L 10-30,1,8,8.00,0,,1,5,5.00,0
,,,2 Games,,,,,0-2-0,3,10,3.33,0,,1,5,5.00,0
