
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1968,1,1968-09-15,23-134,DEN,@,CIN,L 10-24,4,19,4.75,0,,1,6,6.00,0,0,0
2,1968,2,1968-09-22,23-141,DEN,@,KAN,L 2-34,4,11,2.75,0,,0,0,,0,0,0
3,1968,5,1968-10-13,23-162,DEN,@,NYJ,W 21-13,3,-5,-1.67,0,,0,0,,0,0,0
4,1968,6,1968-10-20,23-169,DEN,@,SDG,L 24-55,8,30,3.75,0,,3,22,7.33,0,0,0
5,1968,8,1968-11-03,23-183,DEN,@,BOS,W 35-14,5,58,11.60,1,,0,0,,0,1,6
6,1968,9,1968-11-10,23-190,DEN,,OAK,L 7-43,6,34,5.67,0,,1,2,2.00,0,0,0
7,1968,12,1968-12-01,23-211,DEN,,SDG,L 23-47,0,0,,0,,1,10,10.00,0,0,0
8,1968,14,1968-12-14,23-224,DEN,,KAN,L 7-30,11,39,3.55,0,,0,0,,0,0,0
,,,8 Games,,,,,2-6-0,41,186,4.54,1,,6,40,6.67,0,1,6
