
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2001,11,2001-12-03,22-145,JAX,,GNB,L 21-28
2,2001,12,2001-12-09,22-151,JAX,@,CIN,W 14-10
3,2001,13,2001-12-16,22-158,JAX,@,CLE,W 15-10
4,2001,14,2001-12-23,22-165,JAX,@,MIN,W 33-3
5,2001,15,2001-12-30,22-172,JAX,,KAN,L 26-30
,,,5 Games,,,,,3-2-0
