
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,2010,9,2010-11-14,26-202,CLE,,NYJ,L 20-26,1,0,0.00,0,0,0,0,,0
2,2010,10,2010-11-21,26-209,CLE,@,JAX,L 20-24,,,,,,,,,
3,2010,16,2011-01-02,26-251,NWE,,MIA,W 38-7,6,17,2.83,0,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
4,2011,8,2011-11-06,27-194,CLE,@,HOU,L 12-30,5,10,2.00,0,0,0,0,,0
5,2011,9,2011-11-13,27-201,CLE,,STL,L 12-13,2,-2,-1.00,0,1,1,3,3.00,0
6,2011,10,2011-11-20,27-208,CLE,,JAX,W 14-10,1,4,4.00,0,0,0,0,,0
,,,6 Games,,,,,2-4-0,15,29,1.93,0,1,1,3,3.00,0
