
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1999,1,1999-09-12,27-183,PHI,,ARI,L 24-25,,,,,,,,,
2,1999,2,1999-09-19,27-190,PHI,,TAM,L 5-19,,,,,,,,,
3,1999,3,1999-09-26,27-197,PHI,@,BUF,L 0-26,0,0,,0,6,4,2,0.50,0
4,1999,4,1999-10-03,27-204,PHI,@,NYG,L 15-16,1,5,5.00,0,1,1,6,6.00,0
5,1999,5,1999-10-10,27-211,PHI,,DAL,W 13-10,1,4,4.00,0,0,0,0,,0
6,1999,6,1999-10-17,27-218,PHI,@,CHI,W 20-16,,,,,0,,,,
7,1999,7,1999-10-24,27-225,PHI,@,MIA,L 13-16,,,,,,,,,
8,1999,8,1999-10-31,27-232,PHI,,NYG,L 17-23,1,2,2.00,0,0,0,0,,0
9,1999,9,1999-11-07,27-239,PHI,@,CAR,L 7-33,2,8,4.00,0,0,0,0,,0
10,1999,16,2000-01-02,27-295,PHI,,STL,W 38-31,,,,,0,,,,
,,,10 Games,,,,,3-7-0,5,19,3.80,0,7,5,8,1.60,0
