
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
30,1993,14,1993-12-19,24-190,NWE,@,CLE,W 20-17,7,3,17,5.67,1,4,63,15.75,0,0,0,,0,0,0,,,,0,0,,0,1,6
31,1993,15,1993-12-26,24-197,NWE,,IND,W 38-0,3,3,32,10.67,0,5,16,3.20,0,0,0,,0,0,0,,,,0,0,,0,0,0
32,1993,16,1994-01-02,24-204,NWE,,MIA,W 33-27,10,8,61,7.63,0,3,5,1.67,0,0,0,,0,0,0,,,,0,0,,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
33,1994,1,1994-09-04,25-084,NWE,@,MIA,L 35-39,9,7,61,8.71,0,2,3,1.50,1,0,0,,0,0,0,,,,0,0,,0,1,6
34,1994,2,1994-09-11,25-091,NWE,,BUF,L 35-38,4,4,44,11.00,0,4,11,2.75,0,0,0,,0,0,0,,,,0,0,,0,0,0
35,1994,3,1994-09-18,25-098,NWE,@,CIN,W 31-28,6,5,54,10.80,0,3,6,2.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
36,1994,4,1994-09-25,25-105,NWE,@,DET,W 23-17,8,6,64,10.67,0,3,12,4.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
37,1994,5,1994-10-02,25-112,NWE,,GNB,W 17-16,8,4,31,7.75,0,1,3,3.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
38,1994,6,1994-10-09,25-119,NWE,,RAI,L 17-21,8,3,45,15.00,1,4,11,2.75,0,0,0,,0,0,0,,,,0,0,,0,1,6
39,1994,7,1994-10-16,25-126,NWE,@,NYJ,L 17-24,2,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
