
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD
1,2001,9,2001-11-18,23-040,ATL,@,GNB,W 23-20,,,,,,,,,
2,2001,16,2002-01-06,23-089,ATL,@,STL,L 13-31,,,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD
3,2002,15,2002-12-22,24-074,ATL,,DET,W 36-15,0,0,0,,0,1,5,5.00,0
4,2002,16,2002-12-29,24-081,ATL,@,CLE,L 16-24,2,2,11,5.50,0,0,0,,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD
5,2003,12,2003-11-30,25-052,ATL,@,HOU,L 13-17,0,,,,,,,,
6,2003,13,2003-12-07,25-059,ATL,,CAR,W 20-14,,,,,,,,,
7,2003,14,2003-12-14,25-066,ATL,@,IND,L 7-38,2,1,3,3.00,0,1,15,15.00,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD
8,2004,12,2004-12-05,26-057,SDG,,DEN,W 20-17,0,,,,,,,,
9,2004,13,2004-12-12,26-064,SDG,,TAM,W 31-24,0,,,,,,,,
10,2004,15,2004-12-26,26-078,ATL,@,NOR,L 13-26,0,0,0,,0,1,12,12.00,0
11,2004,16,2005-01-02,26-085,ATL,@,SEA,L 26-28,1,1,6,6.00,0,0,0,,0
,,,11 Games,,,,,5-6-0,5,4,20,5.00,0,3,32,10.67,0
