
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1960,1,1960-09-11,23-239,NYT,,BUF,W 27-3,3,5,1.67,0,,0,0,,0,0,0
2,1960,2,1960-09-17,23-245,NYT,,BOS,L 24-28,2,-2,-1.00,0,,0,0,,0,0,0
3,1960,3,1960-09-23,23-251,NYT,,DEN,W 28-24,5,27,5.40,0,,1,-6,-6.00,0,0,0
4,1960,4,1960-10-02,23-260,NYT,@,DTX,W 37-35,2,5,2.50,0,,1,11,11.00,0,0,0
5,1960,7,1960-10-28,23-286,LAC,@,BOS,W 45-16,3,18,6.00,0,,0,0,,0,0,0
6,1960,8,1960-11-04,23-293,LAC,@,NYT,W 21-7,2,3,1.50,0,,0,0,,0,0,0
7,1960,10,1960-11-20,23-309,LAC,,BUF,L 3-32,1,2,2.00,0,,1,7,7.00,0,0,0
8,1960,14,1960-12-18,23-337,LAC,,NYT,W 50-43,0,0,,0,,1,11,11.00,1,1,6
,,,8 Games,,,,,6-2-0,18,58,3.22,0,,4,23,5.75,1,1,6
