
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,1999,14,1999-12-19,23-237,ATL,@,TEN,L 17-30
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
2,2000,16,2000-12-24,24-242,NWE,,MIA,L 24-27
,,,2 Games,,,,,0-2-0
