
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1968,2,1968-09-22,24-153,RAM,,PIT,W 45-10,1,1,1.00,0,0,0,,0
2,1968,10,1968-11-17,24-209,RAM,@,SFO,T 20-20,0,0,,0,1,0,0.00,0
3,1968,12,1968-12-01,24-223,RAM,@,MIN,W 31-3,1,1,1.00,0,0,0,,0
,,,3 Games,,,,,2-0-1,2,2,1.00,0,1,0,0.00,0
