
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Pnt,Yds,Y/P,Blck
1,1960,4,1960-10-09,24-301,HOU,,NYT,W 27-21,1,4,4.00,0,,0,0,,0,3,76,25.33,0,0,0,,0,0,0,0,0,,0
2,1960,5,1960-10-16,24-308,HOU,,DTX,W 20-10,8,33,4.13,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
3,1960,6,1960-10-23,24-315,HOU,@,NYT,W 42-28,8,23,2.88,0,,0,0,,0,3,196,65.33,1,0,0,,0,1,6,0,0,,0
4,1960,7,1960-10-30,24-322,HOU,@,BUF,L 24-25,1,0,0.00,0,,0,0,,0,3,102,34.00,0,0,0,,0,0,0,6,210,35.00,0
5,1960,8,1960-11-06,24-329,HOU,@,DEN,W 45-25,1,0,0.00,0,,0,0,,0,1,6,6.00,0,1,11,11.00,0,0,0,0,0,,0
6,1960,9,1960-11-13,24-336,HOU,@,LAC,L 21-24,0,0,,0,,0,0,,0,2,36,18.00,0,0,0,,0,0,0,0,0,,0
7,1960,10,1960-11-20,24-343,HOU,,DEN,W 20-10,0,0,,0,,0,0,,0,1,16,16.00,0,0,0,,0,0,0,0,0,,0
8,1960,11,1960-11-25,24-348,HOU,@,BOS,W 24-10,0,0,,0,,0,0,,0,1,4,4.00,0,0,0,,0,0,0,0,0,,0
9,1960,12,1960-12-04,24-357,HOU,@,DTX,L 0-24,1,3,3.00,0,,0,0,,0,1,12,12.00,0,3,34,11.33,0,0,0,0,0,,0
10,1960,13,1960-12-11,24-364,HOU,,BUF,W 31-23,0,0,,0,,0,0,,0,2,49,24.50,0,0,0,,0,0,0,0,0,,0
11,1960,14,1960-12-18,25-005,HOU,,BOS,W 37-21,10,55,5.50,0,,0,0,,0,2,97,48.50,0,2,27,13.50,0,0,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Pnt,Yds,Y/P,Blck
12,1961,1,1961-09-09,25-270,HOU,,OAK,W 55-0,5,3,0.60,0,,0,0,,0,0,0,,0,0,0,,0,0,0,2,58,29.00,0
13,1961,2,1961-09-24,25-285,HOU,@,SDG,L 24-34,2,10,5.00,0,,1,20,20.00,1,4,90,22.50,0,1,1,1.00,0,1,6,6,180,30.00,0
14,1961,3,1961-10-01,25-292,HOU,@,DTX,L 21-26,0,0,,0,,0,0,,0,2,50,25.00,0,1,0,0.00,0,0,0,0,0,,0
15,1961,5,1961-10-15,25-306,STL,,PHI,L 7-20,0,0,,0,,3,38,12.67,0,0,0,,0,0,0,,0,0,0,0,0,,0
,,,15 Games,,,,,9-6-0,37,131,3.54,0,,4,58,14.50,1,25,734,29.36,1,8,73,9.13,0,2,12,14,448,32.00,0
