
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1987,3,1987-10-04,21-032,TAM,@,DET,W 31-27,0,0,,0,,0,0,,0,1,16,16.00,0
2,1987,5,1987-10-18,21-046,TAM,,MIN,W 20-10,12,29,2.42,0,,2,8,4.00,0,0,0,,0
,,,2 Games,,,,,2-0-0,12,29,2.42,0,,2,8,4.00,0,1,16,16.00,0
