
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1960,8,1960-11-20,23-059,SFO,@,DAL,W 26-14,1,9,9.00,0,0,0,,0
2,1960,12,1960-12-18,23-087,SFO,,BAL,W 34-10,1,-7,-7.00,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
3,1961,2,1961-09-24,24-002,SFO,@,GNB,L 10-30,1,-4,-4.00,0,0,0,,0
4,1961,10,1961-11-19,24-058,SFO,,CHI,W 41-31,0,0,,0,1,21,21.00,0
5,1961,14,1961-12-16,24-085,SFO,,BAL,L 24-27,1,2,2.00,0,0,39,,0
,,,5 Games,,,,,3-2-0,4,0,0.00,0,1,60,60.00,0
