
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1963,12,1963-12-08,22-330,NYJ,@,BUF,L 14-45,0,0,,0,1,18,18.00,0
2,1963,13,1963-12-14,22-336,NYJ,,BUF,L 10-19,0,0,,0,1,15,15.00,0
3,1963,14,1963-12-22,22-344,NYJ,@,KAN,L 0-48,3,8,2.67,0,2,22,11.00,0
,,,3 Games,,,,,0-3-0,3,8,2.67,0,4,55,13.75,0
