
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,2012,1,2012-09-09,22-086,KAN,,ATL,L 24-40,,,,,,,,,
2,2012,2,2012-09-16,22-093,KAN,@,BUF,L 17-35,,,,,,,,,
3,2012,3,2012-09-23,22-100,KAN,@,NOR,W 27-24,,,,,,,,,
4,2012,4,2012-09-30,22-107,KAN,,SDG,L 20-37,0,0,,0,1,0,0,,0
5,2012,5,2012-10-07,22-114,KAN,,BAL,L 6-9,,,,,,,,,
6,2012,6,2012-10-14,22-121,KAN,@,TAM,L 10-38,5,18,3.60,0,2,1,19,19.00,0
7,2012,7,2012-10-28,22-135,KAN,,OAK,L 16-26,0,0,,0,0,0,0,,0
8,2012,9,2012-11-12,22-150,KAN,@,PIT,L 13-16,,,,,,,,,
9,2012,10,2012-11-18,22-156,KAN,,CIN,L 6-28,,,,,,,,,
10,2012,11,2012-11-25,22-163,KAN,,DEN,L 9-17,,,,,,,,,
11,2012,12,2012-12-02,22-170,KAN,,CAR,W 27-21,,,,,,,,,
,,,11 Games,,,,,2-9-0,5,18,3.60,0,3,1,19,19.00,0
