
,,,,,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts
1,1960,1,1960-09-11,28-341,OAK,,HOU,L 22-37,2,2,100.0,,3,0.0,0,2
2,1960,2,1960-09-16,28-346,OAK,,DTX,L 16-34,1,1,100.0,1,2,50.0,0,4
3,1960,3,1960-09-25,28-355,OAK,@,HOU,W 14-13,2,2,100.0,,1,0.0,0,2
4,1960,4,1960-10-02,28-362,OAK,@,DEN,L 14-31,2,2,100.0,,,,,
5,1960,5,1960-10-09,29-003,OAK,@,DTX,W 20-19,2,3,66.7,,2,0.0,0,2
6,1960,6,1960-10-16,29-010,OAK,,BOS,W 27-14,3,4,75.0,,1,0.0,0,3
7,1960,7,1960-10-23,29-017,OAK,@,BUF,L 9-38,1,1,100.0,,1,0.0,0,1
8,1960,8,1960-10-28,29-022,OAK,@,NYT,W 28-27,4,4,100.0,,1,0.0,0,4
9,1960,9,1960-11-04,29-029,OAK,@,BOS,L 28-34,4,4,100.0,,2,0.0,0,4
10,1960,10,1960-11-13,29-038,OAK,,BUF,W 20-7,2,2,100.0,2,2,100.0,0,8
11,1960,11,1960-11-27,29-052,OAK,@,LAC,L 28-52,2,2,100.0,,1,0.0,0,2
12,1960,12,1960-12-04,29-059,OAK,,LAC,L 17-41,2,2,100.0,1,4,25.0,0,5
13,1960,13,1960-12-11,29-066,OAK,,NYT,L 28-31,4,4,100.0,,,,,
14,1960,14,1960-12-17,29-072,OAK,,DEN,W 48-10,6,6,100.0,2,5,40.0,0,12
,,,14 Games,,,,,6-8-0,37,39,94.9,6,25,24.0,0,49
