
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD
1,1999,12,1999-11-28,23-330,CLE,,TEN,L 21-33,2,41,20.50,0
2,1999,13,1999-12-05,23-337,CLE,@,SDG,L 10-23,2,36,18.00,0
3,1999,14,1999-12-12,23-344,CLE,@,CIN,L 28-44,2,28,14.00,0
4,1999,15,1999-12-19,23-351,CLE,,JAX,L 14-24,2,32,16.00,0
5,1999,16,1999-12-26,23-358,CLE,,IND,L 28-29,,,,
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD
6,2002,7,2002-10-27,26-298,OAK,@,KAN,L 10-20,,,,
7,2002,10,2002-11-17,26-319,OAK,,NWE,W 27-20,,,,
,,,7 Games,,,,,1-6-0,8,137,17.13,0
