
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Int,Yds,TD,Pnt,Yds,Y/P,Blck
1,1960,1,1960-09-25,26-126,WAS,@,BAL,L 0-20,3,5,1.67,0,,1,7,7.00,0,0,0,,0,0,0,,,,1,25,25.00,0,0,0,,0,0,0,0,0,0,0,0,,0
2,1960,2,1960-10-09,26-140,WAS,,DAL,W 26-14,8,18,2.25,0,,2,42,21.00,1,0,0,,0,0,0,,,,2,51,25.50,0,1,0,0.00,0,1,6,0,0,0,0,0,,0
3,1960,3,1960-10-16,26-147,WAS,@,NYG,T 24-24,10,29,2.90,0,,4,28,7.00,0,0,0,,0,0,0,,,,3,77,25.67,0,0,0,,0,0,0,0,0,0,0,0,,0
4,1960,4,1960-10-23,26-154,WAS,,PIT,T 27-27,5,11,2.20,0,,1,9,9.00,0,0,0,,0,0,0,,,,0,0,,0,3,28,9.33,0,0,0,0,0,0,0,0,,0
5,1960,6,1960-11-06,26-168,WAS,@,STL,L 7-44,7,12,1.71,1,,0,0,,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0,,0,1,6,0,0,0,0,0,,0
6,1960,7,1960-11-13,26-175,WAS,@,PHI,L 13-19,11,18,1.64,0,,2,16,8.00,0,0,0,,0,0,0,,,,0,0,,0,1,6,6.00,0,0,0,0,0,0,0,0,,0
7,1960,8,1960-11-20,26-182,WAS,,STL,L 14-26,1,6,6.00,0,,0,0,,0,0,0,,0,0,0,,,,2,49,24.50,0,1,9,9.00,0,0,0,0,0,0,0,0,,0
8,1960,9,1960-11-27,26-189,WAS,@,PIT,L 10-22,6,18,3.00,0,,2,54,27.00,1,0,0,,0,0,0,,,,5,127,25.40,0,0,0,,0,1,6,0,0,0,0,0,,0
9,1960,10,1960-12-04,26-196,WAS,@,CLE,L 16-27,5,41,8.20,1,,0,0,,0,0,0,,0,0,0,,,,2,45,22.50,0,1,3,3.00,0,1,6,0,0,0,0,0,,0
10,1960,11,1960-12-11,26-203,WAS,,NYG,L 3-17,7,6,0.86,0,,0,0,,0,0,0,,0,0,0,,,,2,39,19.50,0,0,0,,0,0,0,0,0,0,0,0,,0
11,1960,12,1960-12-18,26-210,WAS,,PHI,L 28-38,10,35,3.50,2,,4,87,21.75,0,0,0,,0,0,0,,,,2,45,22.50,0,0,0,,0,2,12,0,0,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Int,Yds,TD,Pnt,Yds,Y/P,Blck
12,1961,1,1961-09-17,27-118,WAS,@,SFO,L 3-35,5,1,0.20,0,,1,4,4.00,0,0,0,,0,0,0,,,,0,0,,0,3,12,4.00,0,0,0,0,0,0,0,0,,0
13,1961,2,1961-09-24,27-125,WAS,@,PHI,L 7-14,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,2,16,8.00,0,0,0,0,0,0,6,210,35.00,0
14,1961,3,1961-10-01,27-132,WAS,,NYG,L 21-24,0,0,,0,,2,47,23.50,1,0,0,,0,0,0,,,,2,51,25.50,0,0,0,,0,1,6,0,0,0,0,0,,0
15,1961,4,1961-10-08,27-139,WAS,@,CLE,L 7-31,1,1,1.00,0,,1,12,12.00,0,0,0,,0,0,0,,,,4,116,29.00,0,1,10,10.00,0,0,0,0,0,0,0,0,,0
16,1961,5,1961-10-15,27-146,WAS,@,PIT,L 0-20,3,10,3.33,0,,0,0,,0,0,0,,0,0,0,,,,2,40,20.00,0,0,0,,0,0,0,0,0,0,0,0,,0
17,1961,6,1961-10-22,27-153,WAS,,STL,L 0-24,0,0,,0,,1,12,12.00,0,0,0,,0,0,0,,,,1,37,37.00,0,3,12,4.00,0,0,0,0,0,0,0,0,,0
18,1961,7,1961-10-29,27-160,WAS,,PHI,L 24-27,1,29,29.00,0,,3,82,27.33,0,0,0,,0,0,0,,,,0,,,0,0,6,,0,0,0,0,0,0,0,0,,0
19,1961,8,1961-11-05,27-167,WAS,@,NYG,L 0-53,0,0,,0,,1,9,9.00,0,0,0,,0,0,0,,,,2,37,18.50,0,1,4,4.00,0,0,0,0,0,0,0,0,,0
20,1961,9,1961-11-12,27-174,WAS,,CLE,L 6-17,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,3,82,27.33,0,1,12,12.00,0,0,0,0,0,0,0,0,,0
21,1961,10,1961-11-19,27-181,WAS,@,DAL,T 28-28,1,18,18.00,0,,1,15,15.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,1,28,0,0,0,,0
22,1961,11,1961-11-26,27-188,WAS,,BAL,L 6-27,3,16,5.33,0,,2,11,5.50,0,0,0,,0,0,0,,,,5,166,33.20,0,1,18,18.00,0,0,0,0,0,0,0,0,,0
23,1961,12,1961-12-03,27-195,WAS,@,STL,L 24-38,17,85,5.00,0,,1,34,34.00,0,0,0,,0,0,0,,,,1,48,48.00,0,0,0,,0,0,0,0,0,0,0,0,,0
24,1961,13,1961-12-10,27-202,WAS,,PIT,L 14-30,13,68,5.23,0,,3,44,14.67,0,1,3,33.33,15,0,0,50.7,5.00,5.00,1,40,40.00,0,0,0,,0,0,0,0,0,0,0,0,,0
25,1961,14,1961-12-17,27-209,WAS,,DAL,W 34-24,27,146,5.41,3,,4,28,7.00,1,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0,,0,4,24,0,0,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Int,Yds,TD,Pnt,Yds,Y/P,Blck
26,1962,1,1962-09-16,28-117,WAS,@,DAL,T 35-35,3,4,1.33,0,,0,0,,0,0,0,,0,0,0,,,,1,28,28.00,0,2,18,9.00,0,0,0,0,0,0,0,0,,0
27,1962,2,1962-09-23,28-124,WAS,@,CLE,W 17-16,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,2,44,22.00,0,0,0,,0,0,0,0,0,0,0,0,,0
28,1962,3,1962-09-30,28-131,WAS,,STL,W 24-14,4,11,2.75,0,,0,0,,0,0,0,,0,0,0,,,,1,14,14.00,0,0,0,,0,0,0,0,0,0,0,0,,0
29,1962,4,1962-10-07,28-138,WAS,,RAM,W 20-14,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,2,15,7.50,0,0,0,0,0,0,0,0,,0
30,1962,5,1962-10-14,28-145,WAS,@,STL,T 17-17,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,1,12,12.00,0,4,27,6.75,0,0,0,0,0,0,0,0,,0
31,1962,6,1962-10-21,28-152,WAS,@,PHI,W 27-21,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,3,76,25.33,0,2,9,4.50,0,0,0,0,0,0,0,0,,0
32,1962,7,1962-10-28,28-159,WAS,@,NYG,L 34-49,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,5,183,36.60,0,1,0,0.00,0,0,0,0,0,0,0,0,,0
33,1962,8,1962-11-04,28-166,WAS,,DAL,L 10-38,0,0,,0,,5,72,14.40,0,0,0,,0,0,0,,,,4,119,29.75,0,2,8,4.00,0,0,0,0,0,0,0,0,,0
34,1962,9,1962-11-11,28-173,WAS,,CLE,W 17-9,0,0,,0,,1,14,14.00,0,0,0,,0,0,0,,,,1,14,14.00,0,2,19,9.50,0,0,0,0,0,0,0,0,,0
35,1962,10,1962-11-18,28-180,WAS,@,PIT,L 21-23,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,3,45,15.00,0,0,0,,0,0,0,0,0,0,0,0,,0
36,1962,11,1962-11-25,28-187,WAS,,NYG,L 24-42,0,0,,0,,5,117,23.40,2,0,0,,0,0,0,,,,4,161,40.25,0,0,0,,0,2,12,0,0,0,0,0,,0
37,1962,12,1962-12-02,28-194,WAS,,PHI,L 14-37,0,0,,0,,3,30,10.00,1,0,0,,0,0,0,,,,2,52,26.00,0,1,33,33.00,0,1,6,0,0,0,0,0,,0
38,1962,13,1962-12-08,28-200,WAS,@,BAL,L 21-34,1,-6,-6.00,0,,0,0,,0,0,0,,0,0,0,,,,2,66,33.00,0,1,8,8.00,0,0,0,0,0,0,0,0,,0
39,1962,14,1962-12-16,28-208,WAS,,PIT,L 24-27,1,4,4.00,0,,5,140,28.00,2,0,0,,0,0,0,,,,3,75,25.00,0,2,8,4.00,0,2,12,0,0,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Int,Yds,TD,Pnt,Yds,Y/P,Blck
40,1963,1,1963-09-15,29-116,WAS,@,CLE,L 14-37,14,40,2.86,0,,0,0,,0,0,0,,0,0,0,,,,1,19,19.00,0,0,0,,0,0,0,0,0,0,0,0,,0
41,1963,2,1963-09-21,29-122,WAS,@,RAM,W 37-14,10,34,3.40,1,,1,77,77.00,0,0,0,,0,0,0,,,,1,25,25.00,0,4,65,16.25,0,1,6,0,0,0,0,0,,0
42,1963,3,1963-09-29,29-130,WAS,,DAL,W 21-17,8,19,2.38,1,,2,36,18.00,0,0,0,,0,0,0,,,,2,45,22.50,0,1,11,11.00,0,1,6,0,0,0,0,0,,0
43,1963,4,1963-10-06,29-137,WAS,,NYG,L 14-24,5,22,4.40,0,,1,1,1.00,0,0,0,,0,0,0,,,,3,67,22.33,0,1,2,2.00,0,0,0,0,0,0,0,0,,0
44,1963,5,1963-10-13,29-144,WAS,,PHI,L 24-37,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,3,74,24.67,0,1,27,27.00,0,0,0,0,0,0,0,0,,0
45,1963,6,1963-10-20,29-151,WAS,@,PIT,L 27-38,14,61,4.36,1,,2,53,26.50,1,0,1,0.00,0,0,0,39.6,0.00,0.00,1,26,26.00,0,2,7,3.50,0,2,12,0,0,0,0,0,,0
46,1963,7,1963-10-27,29-158,WAS,,STL,L 7-21,16,61,3.81,0,,1,17,17.00,0,0,0,,0,0,0,,,,0,0,,0,2,28,14.00,0,0,0,0,0,0,0,0,,0
