
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1986,1,1986-09-07,22-246,HOU,@,GNB,W 31-3,2,4,2.00,0,,0,0,,0
2,1986,2,1986-09-14,22-253,HOU,,CLE,L 20-23,0,0,,0,,0,0,,0
3,1986,3,1986-09-21,22-260,HOU,@,KAN,L 13-27,10,43,4.30,0,,2,26,13.00,0
4,1986,4,1986-09-28,22-267,HOU,,PIT,L 16-22,6,-2,-0.33,0,,1,4,4.00,0
5,1986,5,1986-10-05,22-274,HOU,@,DET,L 13-24,0,0,,0,,0,0,,0
6,1986,6,1986-10-12,22-281,HOU,,CHI,L 7-20,0,0,,0,,0,0,,0
7,1986,8,1986-10-26,22-295,HOU,,RAI,L 17-28,0,0,,0,,0,0,,0
8,1986,11,1986-11-16,22-316,HOU,@,PIT,L 10-21,0,0,,0,,0,0,,0
9,1986,12,1986-11-23,22-323,HOU,,IND,W 31-17,2,6,3.00,0,,0,0,,0
10,1986,13,1986-11-30,22-330,HOU,@,CLE,L 10-13,0,0,,0,,0,0,,0
11,1986,14,1986-12-07,22-337,HOU,@,SDG,L 0-27,0,0,,0,,0,0,,0
12,1986,15,1986-12-14,22-344,HOU,,MIN,W 23-10,6,16,2.67,0,,1,14,14.00,0
13,1986,16,1986-12-21,22-351,HOU,,BUF,W 16-7,3,13,4.33,0,,3,27,9.00,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
14,1987,3,1987-10-04,23-273,IND,@,BUF,W 47-6,16,69,4.31,0,,3,27,9.00,0
15,1987,4,1987-10-11,23-280,IND,,NYJ,W 6-0,25,159,6.36,0,,5,22,4.40,0
16,1987,5,1987-10-18,23-287,IND,@,PIT,L 7-21,9,17,1.89,0,,1,1,1.00,0
,,,16 Games,,,,,6-10-0,79,325,4.11,0,,16,121,7.56,0
