
,,,,,,,,,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD
1,1984,10,1984-11-04,23-260,KAN,@,SEA,L 0-45,1,2,2.00,0
2,1984,14,1984-12-02,23-288,KAN,,DEN,W 16-13,1,1,1.00,0
3,1984,15,1984-12-09,23-295,KAN,,SEA,W 34-7,5,-3,-0.60,0
4,1984,16,1984-12-16,23-302,KAN,@,SDG,W 42-21,8,12,1.50,0
,,,4 Games,,,,,3-1-0,15,12,0.80,0
