
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,TD,Pts
1,1987,3,1987-10-04,22-347,NWE,,CLE,L 10-20,1,0,0.00,0,0,0
2,1987,4,1987-10-11,22-354,NWE,,BUF,W 14-7,3,20,6.67,1,1,6
,,,2 Games,,,,,1-1-0,4,20,5.00,1,1,6
