
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,TD,Pts
1,1987,3,1987-10-04,24-199,IND,@,BUF,W 47-6,6,38,6.33,1,1,6
2,1987,4,1987-10-11,24-206,IND,,NYJ,W 6-0,4,15,3.75,0,0,0
3,1987,5,1987-10-18,24-213,IND,@,PIT,L 7-21,9,32,3.56,0,0,0
,,,3 Games,,,,,2-1-0,19,85,4.47,1,1,6
