
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1989,7,1989-10-22,22-163,ATL,@,PHO,L 20-34,0,0,,0,,0,0,,0,2,40,20.00,0
2,1989,8,1989-10-29,22-170,ATL,@,NOR,L 13-20,0,0,,0,,0,0,,0,1,17,17.00,0
3,1989,9,1989-11-05,22-177,ATL,,BUF,W 30-28,0,0,,0,,0,0,,0,0,0,,0
4,1989,10,1989-11-12,22-184,ATL,@,SFO,L 3-45,1,1,1.00,0,,0,0,,0,1,21,21.00,0
5,1989,11,1989-11-19,22-191,ATL,,NOR,L 17-26,0,0,,0,,0,0,,0,0,0,,0
6,1989,12,1989-11-26,22-198,ATL,@,NYJ,L 7-27,0,0,,0,,0,0,,0,0,0,,0
7,1989,13,1989-12-03,22-205,ATL,,SFO,L 10-23,0,0,,0,,0,0,,0,0,0,,0
8,1989,14,1989-12-10,22-212,ATL,@,MIN,L 17-43,0,0,,0,,1,13,13.00,0,1,8,8.00,0
9,1989,15,1989-12-17,22-219,ATL,,WAS,L 30-31,0,0,,0,,1,2,2.00,0,0,0,,0
10,1989,16,1989-12-24,22-226,ATL,,DET,L 24-31,8,31,3.88,0,,3,27,9.00,0,3,43,14.33,0
,,,10 Games,,,,,1-9-0,9,32,3.56,0,,5,42,8.40,0,8,129,16.13,0
