
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
35,1999,2,1999-09-19,27-228,IND,@,NWE,L 28-31,,,,,,,,,,,,,
36,1999,3,1999-09-26,27-235,IND,@,SDG,W 27-19,,,,,,,,,,,,,
37,1999,4,1999-10-10,27-249,IND,,MIA,L 31-34,0,0,,0,0,0,0,,0,2,30,15.00,0
38,1999,5,1999-10-17,27-256,IND,@,NYJ,W 16-13,,,,,,,,,,,,,
39,1999,8,1999-11-07,27-277,IND,,KAN,W 25-17,,,,,,,,,,,,,
40,1999,9,1999-11-14,27-284,IND,@,NYG,W 27-19,0,0,,0,0,0,0,,0,1,15,15.00,0
41,1999,10,1999-11-21,27-291,IND,@,PHI,W 44-17,12,34,2.83,0,2,2,8,4.00,0,0,0,,0
42,1999,11,1999-11-28,27-298,IND,,NYJ,W 13-6,,,,,,,,,,,,,
43,1999,12,1999-12-05,27-305,IND,@,MIA,W 37-34,,,,,0,,,,,,,,
44,1999,13,1999-12-12,27-312,IND,,NWE,W 20-15,,,,,,,,,,,,,
45,1999,14,1999-12-19,27-319,IND,,WAS,W 24-21,,,,,0,,,,,,,,
46,1999,15,1999-12-26,27-326,IND,@,CLE,W 29-28,,,,,,,,,,,,,
47,1999,16,2000-01-02,27-333,IND,@,BUF,L 6-31,1,-6,-6.00,0,3,2,8,4.00,0,0,0,,0
,,,47 Games,,,,,21-26-0,42,124,2.95,0,29,22,147,6.68,0,19,399,21.00,0
