
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1988,1,1988-09-04,24-117,DET,,ATL,W 31-17,0,0,,0,,0,0,,0,1,22,22.00,0
2,1988,2,1988-09-11,24-124,DET,@,RAM,L 10-17,0,0,,0,,0,0,,0,3,67,22.33,0
3,1988,3,1988-09-18,24-131,DET,,NOR,L 14-22,0,0,,0,,0,0,,0,0,0,,0
4,1988,4,1988-09-25,24-138,DET,,NYJ,L 10-17,7,28,4.00,0,,0,0,,0,2,38,19.00,0
5,1988,5,1988-10-02,24-145,DET,@,SFO,L 13-20,1,1,1.00,0,,0,0,,0,0,0,,0
6,1988,6,1988-10-09,24-152,DET,,CHI,L 7-24,1,2,2.00,0,,0,0,,0,2,38,19.00,0
7,1988,7,1988-10-16,24-159,DET,@,NYG,L 10-30,2,2,1.00,0,,1,1,1.00,0,2,34,17.00,0
8,1988,8,1988-10-23,24-166,DET,@,KAN,W 7-6,3,8,2.67,0,,0,0,,0,1,23,23.00,0
9,1988,9,1988-10-30,24-173,DET,,NYG,L 10-13,0,0,,0,,0,0,,0,3,57,19.00,0
10,1988,14,1988-12-04,24-208,DET,,GNB,W 30-14,2,0,0.00,0,,0,0,,0,0,0,,0
11,1988,15,1988-12-11,24-215,DET,@,CHI,L 12-13,1,1,1.00,0,,0,0,,0,2,43,21.50,0
12,1988,16,1988-12-18,24-222,DET,@,TAM,L 10-21,0,0,,0,,0,0,,0,1,25,25.00,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
13,1989,1,1989-09-10,25-123,DET,,PHO,L 13-16,5,26,5.20,0,,0,0,,0,0,0,,0
14,1989,2,1989-09-17,25-130,DET,@,NYG,L 14-24,0,0,,0,,0,0,,0,0,0,,0
15,1989,3,1989-09-24,25-137,DET,,CHI,L 27-47,2,7,3.50,0,,1,8,8.00,0,0,0,,0
16,1989,5,1989-10-08,25-151,DET,@,MIN,L 17-24,0,0,,0,,0,0,,0,0,0,,0
17,1989,6,1989-10-15,25-158,DET,@,TAM,W 17-16,4,8,2.00,0,,1,27,27.00,0,0,0,,0
18,1989,7,1989-10-22,25-165,DET,,MIN,L 7-20,0,0,,0,,0,0,,0,1,14,14.00,0
19,1989,8,1989-10-29,25-172,DET,@,GNB,L 20-23,0,0,,0,,0,0,,0,0,0,,0
20,1989,9,1989-11-05,25-179,DET,@,HOU,L 31-35,0,0,,0,,0,0,,0,0,0,,0
21,1989,10,1989-11-12,25-186,DET,,GNB,W 31-22,0,0,,0,,0,0,,0,0,0,,0
22,1989,11,1989-11-19,25-193,DET,@,CIN,L 7-42,2,8,4.00,0,,1,6,6.00,0,0,0,,0
23,1989,12,1989-11-23,25-197,DET,,CLE,W 13-10,0,0,,0,,0,0,,0,0,0,,0
24,1989,13,1989-12-03,25-207,DET,,NOR,W 21-14,0,0,,0,,0,0,,0,0,0,,0
25,1989,14,1989-12-10,25-214,DET,@,CHI,W 27-17,0,0,,0,,0,0,,0,0,0,,0
26,1989,15,1989-12-17,25-221,DET,,TAM,W 33-7,2,15,7.50,0,,0,0,,0,0,0,,0
27,1989,16,1989-12-24,25-228,DET,@,ATL,W 31-24,0,0,,0,,0,0,,0,0,0,,0
,,,27 Games,,,,,10-17-0,32,106,3.31,0,,4,42,10.50,0,18,361,20.06,0
