
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2001,10,2001-11-25,23-253,TEN,,PIT,L 24-34
2,2001,11,2001-12-02,23-260,TEN,@,CLE,W 31-15
3,2001,12,2001-12-09,23-267,TEN,@,MIN,L 24-42
4,2001,13,2001-12-16,23-274,TEN,,GNB,W 26-20
5,2001,14,2001-12-22,23-280,TEN,@,OAK,W 13-10
6,2001,15,2001-12-30,23-288,TEN,,CLE,L 38-41
7,2001,16,2002-01-06,23-295,TEN,,CIN,L 21-23
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
8,2002,8,2002-11-03,24-231,JAX,@,NYG,L 17-24
9,2002,15,2002-12-22,24-280,JAX,,TEN,L 10-28
10,2002,16,2002-12-29,24-287,JAX,@,IND,L 13-20
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
11,2003,9,2003-11-09,25-237,STL,,BAL,W 33-22
,,,11 Games,,,,,4-7-0
