
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2001,14,2001-12-23,22-198,CLE,@,GNB,L 7-30
2,2001,15,2001-12-30,22-205,CLE,@,TEN,W 41-38
3,2001,16,2002-01-06,22-212,CLE,@,PIT,L 7-28
,,,3 Games,,,,,1-2-0
