
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1988,14,1988-12-04,24-149,PHO,@,NYG,L 7-44,0,0,,0,0,0,,0
2,1988,15,1988-12-10,24-155,PHO,,PHI,L 17-23,0,0,,0,0,0,,0
3,1988,16,1988-12-18,24-163,PHO,,GNB,L 17-26,3,8,2.67,0,1,11,11.00,0
,,,3 Games,,,,,0-3-0,3,8,2.67,0,1,11,11.00,0
