
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1987,3,1987-10-04,27-335,NOR,,RAM,W 37-10,8,12,1.50,0,,0,0,,0
2,1987,4,1987-10-11,27-342,NOR,@,STL,L 19-24,5,16,3.20,0,,1,6,6.00,0
3,1987,5,1987-10-18,27-349,NOR,@,CHI,W 19-17,4,7,1.75,0,,1,11,11.00,0
,,,3 Games,,,,,2-1-0,17,35,2.06,0,,2,17,8.50,0
