
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1972,7,1972-10-29,23-282,CHI,@,STL,W 27-10,3,5,1.67,0,,0,0,,0,0,0
2,1972,10,1972-11-19,23-303,CHI,,SFO,L 21-34,0,0,,0,,1,8,8.00,0,0,0
3,1972,12,1972-12-03,23-317,CHI,@,MIN,L 10-23,0,0,,0,,1,7,7.00,1,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
4,1973,3,1973-09-30,24-252,CHI,@,DEN,W 33-14,6,19,3.17,0,,0,0,,0,0,0
5,1973,5,1973-10-14,24-266,CHI,@,ATL,L 6-46,2,5,2.50,0,,1,1,1.00,0,0,0
6,1973,7,1973-10-28,24-280,CHI,,HOU,W 35-14,5,13,2.60,0,,2,6,3.00,0,0,0
7,1973,8,1973-11-04,24-287,CHI,@,GNB,W 31-17,1,1,1.00,0,,0,0,,0,0,0
8,1973,9,1973-11-12,24-295,CHI,@,KAN,L 7-19,2,3,1.50,0,,0,0,,0,0,0
9,1973,10,1973-11-18,24-301,CHI,,DET,L 7-30,2,6,3.00,0,,0,0,,0,0,0
10,1973,11,1973-11-25,24-308,CHI,@,MIN,L 13-31,4,11,2.75,0,,0,0,,0,0,0
11,1973,12,1973-12-02,24-315,CHI,,RAM,L 0-26,2,7,3.50,0,,1,1,1.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
12,1974,12,1974-12-01,25-314,CHI,,NYG,W 16-13,7,27,3.86,1,,1,3,3.00,0,1,6
13,1974,13,1974-12-08,25-321,CHI,@,SDG,L 21-28,1,3,3.00,0,,0,0,,0,0,0
,,,13 Games,,,,,5-8-0,35,100,2.86,1,,7,26,3.71,1,2,12
