
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,2004,7,2004-10-31,23-296,NWE,@,PIT,L 20-34,1,1,1.00,0,0,0,,0
2,2004,12,2004-12-05,23-331,NWE,@,CLE,W 42-15,16,29,1.81,0,0,0,,0
3,2004,16,2005-01-02,23-359,NWE,,SFO,W 21-7,5,20,4.00,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
4,2006,2,2006-09-17,25-251,DEN,,KAN,W 9-6,0,0,,0,1,0,0.00,0
5,2006,8,2006-11-05,25-300,DEN,@,PIT,W 31-20,3,9,3.00,0,0,0,,0
,,,5 Games,,,,,4-1-0,25,59,2.36,0,1,0,0.00,0
