
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1979,13,1979-11-25,22-352,KAN,@,SDG,L 7-28,0,0,,0,1,7,7.00,0
2,1979,14,1979-12-02,22-359,KAN,,SEA,W 37-21,2,1,0.50,0,0,0,,0
,,,2 Games,,,,,1-1-0,2,1,0.50,0,1,7,7.00,0
