
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD
1,1986,1,1986-09-07,27-338,TAM,,SFO,L 7-31,0,0,,0
2,1986,2,1986-09-14,27-345,TAM,,MIN,L 10-23,0,0,,0
3,1986,3,1986-09-21,27-352,TAM,@,DET,W 24-20,0,0,,0
4,1986,4,1986-09-28,27-359,TAM,,ATL,L 20-23,0,0,,0
5,1986,5,1986-10-05,28-001,TAM,@,RAM,L 20-26,0,0,,0
6,1986,6,1986-10-12,28-008,TAM,,STL,L 19-30,0,0,,0
7,1986,7,1986-10-19,28-015,TAM,@,NOR,L 7-38,1,2,2.00,0
,,,7 Games,,,,,1-6-0,1,2,2.00,0
