
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
1,1960,1,1960-09-11,26-278,OAK,,HOU,L 22-37,0,0,,0,,6,116,19.33,1,0,0,,0,0,0,,,,2,18,9.00,0,1,2,2.00,0,1,6
2,1960,2,1960-09-16,26-283,OAK,,DTX,L 16-34,1,15,15.00,0,,5,94,18.80,1,0,0,,0,0,0,,,,1,21,21.00,0,0,0,,0,1,6
3,1960,3,1960-09-25,26-292,OAK,@,HOU,W 14-13,12,31,2.58,0,,2,15,7.50,0,1,2,50.00,16,0,1,37.5,8.00,-14.50,1,22,22.00,0,0,0,,0,0,0
4,1960,4,1960-10-02,26-299,OAK,@,DEN,L 14-31,14,58,4.14,0,,1,9,9.00,0,0,3,0.00,0,0,1,0.0,0.00,-15.00,0,0,,0,1,0,0.00,0,0,0
5,1960,5,1960-10-09,26-306,OAK,@,DTX,W 20-19,4,-9,-2.25,0,,0,0,,0,1,1,100.00,8,1,0,139.6,8.00,28.00,0,0,,0,0,0,,0,0,0
6,1960,6,1960-10-16,26-313,OAK,,BOS,W 27-14,13,27,2.08,0,,1,9,9.00,0,1,1,100.00,7,0,0,95.8,7.00,7.00,0,0,,0,0,0,,0,0,0
7,1960,7,1960-10-23,26-320,OAK,@,BUF,L 9-38,1,16,16.00,0,,1,4,4.00,0,1,2,50.00,0,0,1,16.7,0.00,-22.50,0,0,,0,0,0,,0,0,0
8,1960,8,1960-10-28,26-325,OAK,@,NYT,W 28-27,13,42,3.23,0,,1,6,6.00,0,1,1,100.00,25,0,0,118.7,25.00,25.00,0,0,,0,0,0,,0,0,0
9,1960,9,1960-11-04,26-332,OAK,@,BOS,L 28-34,14,91,6.50,3,,3,16,5.33,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,3,18
10,1960,10,1960-11-13,26-341,OAK,,BUF,W 20-7,12,141,11.75,1,,1,19,19.00,0,1,1,100.00,15,0,0,118.7,15.00,15.00,0,0,,0,0,0,,0,1,6
11,1960,11,1960-11-27,26-355,OAK,@,LAC,L 28-52,6,13,2.17,0,,5,50,10.00,1,2,3,66.67,23,0,0,89.6,7.67,7.67,0,0,,0,0,0,,0,1,6
12,1960,12,1960-12-04,26-362,OAK,,LAC,L 17-41,14,67,4.79,0,,1,4,4.00,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0,,0,0,0
13,1960,13,1960-12-11,27-003,OAK,,NYT,L 28-31,12,41,3.42,1,,5,52,10.40,1,1,2,50.00,17,0,0,79.2,8.50,8.50,0,0,,0,1,10,10.00,0,2,12
14,1960,14,1960-12-17,27-009,OAK,,DEN,W 48-10,23,75,3.26,1,,3,-1,-0.33,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,2,0,0.00,0,1,6
,,,14 Games,,,,,6-8-0,139,608,4.37,6,,35,393,11.23,4,9,18,50.00,111,1,3,48.4,6.17,-0.22,4,61,15.25,0,5,12,2.40,0,10,60
