
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
1,1965,2,1965-09-19,24-233,SDG,@,OAK,W 17-6,0,0,,0,1,11,11.00,0,0,0,,0,0,0
2,1965,3,1965-09-26,24-240,SDG,,KAN,T 10-10,0,0,,0,1,21,21.00,0,0,0,,0,0,0
3,1965,4,1965-10-03,24-247,SDG,,HOU,W 31-14,0,0,,0,1,12,12.00,0,0,0,,0,0,0
4,1965,5,1965-10-16,24-260,NYJ,,OAK,T 24-24,0,0,,0,0,0,,0,1,7,7.00,0,0,0
5,1965,6,1965-10-23,24-267,NYJ,,SDG,L 9-34,0,0,,0,4,86,21.50,0,0,0,,0,0,0
6,1965,7,1965-10-31,24-275,NYJ,,DEN,W 45-10,4,5,1.25,1,0,0,,0,0,0,,0,1,6
7,1965,9,1965-11-14,24-289,NYJ,@,BOS,W 30-20,0,0,,0,1,18,18.00,0,0,0,,0,0,0
8,1965,10,1965-11-21,24-296,NYJ,,HOU,W 41-14,3,20,6.67,1,0,0,,0,0,0,,0,1,6
9,1965,12,1965-12-04,24-309,NYJ,@,SDG,L 7-38,0,0,,0,4,89,22.25,0,0,0,,0,0,0
10,1965,13,1965-12-12,24-317,NYJ,@,OAK,L 14-24,0,0,,0,2,45,22.50,0,0,0,,0,0,0
11,1965,14,1965-12-19,24-324,NYJ,,BUF,W 14-12,0,0,,0,3,73,24.33,0,0,0,,0,0,0
,,,11 Games,,,,,6-3-2,7,25,3.57,2,17,355,20.88,0,1,7,7.00,0,2,12
