
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1989,10,1989-11-12,22-042,CHI,@,PIT,W 20-0,2,7,3.50,0,0,0,,0
2,1989,11,1989-11-19,22-049,CHI,,TAM,L 31-32,0,0,,0,,,,
3,1989,12,1989-11-26,22-056,CHI,@,WAS,L 14-38,0,0,,0,,,,
4,1989,13,1989-12-03,22-063,CHI,@,MIN,L 16-27,0,0,,0,,,,
5,1989,14,1989-12-10,22-070,CHI,,DET,L 17-27,0,0,,0,,,,
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
6,1991,1,1991-09-01,23-335,BUF,,MIA,W 35-31,,,,,0,0,,0
7,1991,15,1991-12-15,24-075,BUF,@,IND,W 35-7,0,0,,0,1,18,18.00,0
8,1991,16,1991-12-22,24-082,BUF,,DET,L 14-17,,,,,0,0,,0
,,,8 Games,,,,,3-5-0,2,7,3.50,0,1,18,18.00,0
