
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
1,1978,1,1978-09-03,21-342,WAS,@,NWE,W 16-14,6,23,3.83,0,,0,0,,0,2,35,17.50,0,2,21,10.50,0,0,0
2,1978,2,1978-09-10,21-349,WAS,,PHI,W 35-30,0,0,,0,,0,0,,0,4,116,29.00,0,4,93,23.25,1,1,6
3,1978,3,1978-09-17,21-356,WAS,@,STL,W 28-10,0,0,,0,,0,0,,0,1,99,99.00,1,1,27,27.00,0,1,6
4,1978,4,1978-09-24,21-363,WAS,,NYJ,W 23-3,0,0,,0,,0,0,,0,0,0,,0,4,37,9.25,0,0,0
5,1978,5,1978-10-02,22-006,WAS,,DAL,W 9-5,0,0,,0,,0,0,,0,1,30,30.00,0,2,22,11.00,0,0,0
6,1978,6,1978-10-08,22-012,WAS,@,DET,W 21-19,0,0,,0,,0,0,,0,2,41,20.50,0,5,31,6.20,0,0,0
7,1978,7,1978-10-15,22-019,WAS,@,PHI,L 10-17,3,13,4.33,0,,1,34,34.00,0,1,30,30.00,0,2,0,0.00,0,0,0
8,1978,8,1978-10-22,22-026,WAS,@,NYG,L 6-17,3,12,4.00,0,,2,48,24.00,0,2,75,37.50,0,3,57,19.00,0,0,0
9,1978,9,1978-10-29,22-033,WAS,,SFO,W 38-20,10,34,3.40,1,,1,7,7.00,0,3,59,19.67,0,0,0,,0,1,6
10,1978,10,1978-11-06,22-041,WAS,@,BAL,L 17-21,0,0,,0,,0,0,,0,2,42,21.00,0,3,9,3.00,0,0,0
11,1978,11,1978-11-12,22-047,WAS,,NYG,W 16-13,0,0,,0,,0,0,,0,3,56,18.67,0,5,54,10.80,0,0,0
12,1978,12,1978-11-19,22-054,WAS,,STL,L 17-27,0,0,,0,,0,0,,0,5,107,21.40,0,4,26,6.50,0,0,0
13,1978,13,1978-11-23,22-058,WAS,@,DAL,L 10-37,0,0,,0,,0,0,,0,2,36,18.00,0,1,-3,-3.00,0,0,0
14,1978,14,1978-12-03,22-068,WAS,,MIA,L 0-16,0,0,,0,,0,0,,0,2,39,19.50,0,3,57,19.00,0,0,0
15,1978,15,1978-12-10,22-075,WAS,@,ATL,L 17-20,0,0,,0,,0,0,,0,2,47,23.50,0,0,0,,0,0,0
16,1978,16,1978-12-16,22-081,WAS,,CHI,L 10-14,0,0,,0,,0,0,,0,2,58,29.00,0,3,12,4.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
17,1979,1,1979-09-02,22-341,NYG,@,PHI,L 17-23,0,0,,0,,0,0,,0,3,62,20.67,0,1,3,3.00,0,0,0
18,1979,2,1979-09-09,22-348,NYG,,STL,L 14-27,0,0,,0,,0,0,,0,2,24,12.00,0,2,14,7.00,0,0,0
19,1979,3,1979-09-17,22-356,NYG,@,WAS,L 0-27,0,0,,0,,0,0,,0,5,88,17.60,0,0,0,,0,0,0
20,1979,4,1979-09-23,22-362,NYG,,PHI,L 13-17,0,0,,0,,0,0,,0,2,40,20.00,0,0,0,,0,0,0
21,1979,6,1979-10-07,23-011,SEA,@,SFO,W 35-24,0,0,,0,,0,0,,0,1,16,16.00,0,3,22,7.33,0,0,0
22,1979,7,1979-10-14,23-018,SEA,@,SDG,L 10-20,0,0,,0,,0,0,,0,1,19,19.00,0,2,25,12.50,0,0,0
23,1979,8,1979-10-21,23-025,SEA,,HOU,W 34-14,0,0,,0,,0,0,,0,1,25,25.00,0,4,22,5.50,0,0,0
24,1979,9,1979-10-29,23-033,SEA,@,ATL,W 31-28,0,0,,0,,0,0,,0,3,86,28.67,0,1,8,8.00,0,0,0
25,1979,10,1979-11-04,23-039,SEA,,RAM,L 0-24,0,0,,0,,0,0,,0,3,79,26.33,0,4,33,8.25,0,0,0
26,1979,11,1979-11-11,23-046,SEA,@,CLE,W 29-24,0,0,,0,,0,0,,0,3,56,18.67,0,2,11,5.50,0,0,0
27,1979,12,1979-11-18,23-053,SEA,,NOR,W 38-24,0,0,,0,,0,0,,0,1,23,23.00,0,0,0,,0,0,0
28,1979,13,1979-11-26,23-061,SEA,,NYJ,W 30-7,0,0,,0,,0,0,,0,2,48,24.00,0,0,0,,0,0,0
29,1979,14,1979-12-02,23-067,SEA,@,KAN,L 21-37,0,0,,0,,0,0,,0,4,74,18.50,0,0,0,,0,0,0
30,1979,15,1979-12-08,23-073,SEA,,DEN,W 28-23,0,0,,0,,0,0,,0,1,11,11.00,0,0,0,,0,0,0
,,,30 Games,,,,,15-15-0,22,82,3.73,1,,4,89,22.25,0,66,1521,23.05,1,61,581,9.52,1,3,18
