
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1960,2,1960-10-02,25-200,NYG,@,STL,W 35-14,2,9,4.50,0,,1,14,14.00,0,1,17,17.00,0
2,1960,4,1960-10-16,25-214,NYG,,WAS,T 24-24,1,5,5.00,0,,0,0,,0,2,41,20.50,0
3,1960,5,1960-10-30,25-228,NYG,,STL,L 13-20,0,0,,0,,0,0,,0,2,49,24.50,0
4,1960,6,1960-11-06,25-235,NYG,@,CLE,W 17-13,0,0,,0,,0,0,,0,1,17,17.00,0
5,1960,7,1960-11-13,25-242,NYG,,PIT,W 27-24,0,0,,0,,0,0,,0,3,55,18.33,0
6,1960,8,1960-11-20,25-249,NYG,,PHI,L 10-17,0,0,,0,,0,0,,0,3,44,14.67,0
7,1960,9,1960-11-27,25-256,NYG,@,PHI,L 23-31,5,57,11.40,0,,0,0,,0,0,0,,0
8,1960,10,1960-12-04,25-263,NYG,,DAL,T 31-31,7,62,8.86,0,,0,0,,0,0,0,,0
9,1960,11,1960-12-11,25-270,NYG,@,WAS,W 17-3,2,-10,-5.00,0,,1,16,16.00,0,0,0,,0
10,1960,12,1960-12-18,25-277,NYG,,CLE,L 34-48,3,12,4.00,0,,0,0,,0,0,0,,0
,,,10 Games,,,,,4-4-2,20,135,6.75,0,,2,30,15.00,0,12,223,18.58,0
