
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1971,1,1971-09-19,22-196,CLE,,HOU,W 31-0,1,-4,-4.00,0,,0,0,,0,0,0,,0
2,1971,5,1971-10-17,22-224,CLE,@,CIN,W 27-24,1,-2,-2.00,0,,0,0,,0,0,0,,0
3,1971,6,1971-10-24,22-231,CLE,,DEN,L 0-27,1,6,6.00,0,,0,0,,0,0,0,,0
4,1971,8,1971-11-07,22-245,CLE,@,PIT,L 9-26,0,0,,0,,0,0,,0,1,19,19.00,0
5,1971,9,1971-11-14,22-252,CLE,@,KAN,L 7-13,0,0,,0,,1,18,18.00,0,0,0,,0
6,1971,11,1971-11-28,22-266,CLE,@,HOU,W 37-24,5,14,2.80,0,,0,0,,0,0,0,,0
7,1971,13,1971-12-12,22-280,CLE,@,NOR,W 21-17,3,-2,-0.67,0,,0,0,,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
8,1972,4,1972-10-08,23-215,CLE,,KAN,L 7-31,3,-4,-1.33,0,,2,7,3.50,0,0,0,,0
9,1972,11,1972-11-26,23-264,CLE,,BUF,W 27-10,2,5,2.50,0,,0,0,,0,0,0,,0
10,1972,14,1972-12-17,23-285,CLE,@,NYJ,W 26-10,2,7,3.50,0,,0,0,,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
11,1973,3,1973-09-30,24-207,BUF,,NYJ,W 9-7,2,4,2.00,0,,0,0,,0,0,0,,0
12,1973,5,1973-10-14,24-221,BUF,,BAL,W 31-13,2,9,4.50,0,,0,0,,0,0,0,,0
13,1973,9,1973-11-11,24-249,BUF,,CIN,L 13-16,0,0,,0,,0,0,,0,1,2,2.00,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
14,1974,5,1974-10-13,25-220,BUF,@,BAL,W 27-14,0,0,,0,,0,0,,0,1,12,12.00,0
15,1974,13,1974-12-08,25-276,BUF,@,NYJ,L 10-20,0,0,,0,,0,0,,0,1,13,13.00,0
16,1974,14,1974-12-15,25-283,BUF,@,RAM,L 14-19,0,0,,0,,0,0,,0,1,20,20.00,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
17,1975,4,1975-10-12,26-219,BUF,@,BAL,W 38-31,0,0,,0,,0,0,,0,1,9,9.00,0
18,1975,5,1975-10-20,26-227,BUF,,NYG,L 14-17,0,0,,0,,0,0,,0,1,13,13.00,0
19,1975,9,1975-11-17,26-255,BUF,@,CIN,L 24-33,0,0,,0,,0,0,,0,1,16,16.00,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
20,1976,9,1976-11-07,27-245,BUF,@,NWE,L 10-20,0,0,,0,,0,0,,0,1,18,18.00,0
21,1976,13,1976-12-05,27-273,BUF,@,MIA,L 27-45,0,0,,0,,0,0,,0,1,14,14.00,0
,,,21 Games,,,,,10-11-0,22,33,1.50,0,,3,25,8.33,0,10,136,13.60,0
