
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1987,5,1987-10-18,21-360,NWE,@,HOU,W 21-7,7,47,6.71,0,0,0,,0
2,1987,6,1987-10-25,22-002,NWE,@,IND,L 16-30,2,-4,-2.00,0,0,0,,0
3,1987,10,1987-11-22,22-030,NWE,,IND,W 24-0,0,0,,0,1,23,23.00,0
4,1987,11,1987-11-29,22-037,NWE,,PHI,L 31-34,0,0,,0,4,111,27.75,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
5,1988,12,1988-11-20,23-028,NWE,@,MIA,W 6-3,,,,,0,0,,0
6,1988,13,1988-11-27,23-035,NWE,@,IND,L 21-24,0,0,,0,3,49,16.33,0
7,1988,14,1988-12-04,23-042,NWE,,SEA,W 13-7,0,0,,0,1,24,24.00,0
8,1988,15,1988-12-11,23-049,NWE,,TAM,W 10-7,0,0,,0,1,19,19.00,0
9,1988,16,1988-12-17,23-055,NWE,@,DEN,L 10-21,0,0,,0,1,14,14.00,0
,,,9 Games,,,,,5-4-0,9,43,4.78,0,11,240,21.82,0
