
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1965,2,1965-09-26,24-257,WAS,@,DAL,L 7-27,3,1,0.33,0,,2,38,19.00,0,2,8,4.00,0
2,1965,4,1965-10-10,24-271,WAS,,STL,L 16-37,0,0,,0,,1,2,2.00,0,0,0,,0
3,1965,8,1965-11-07,24-299,WAS,@,NYG,W 23-7,2,3,1.50,0,,0,0,,0,0,0,,0
4,1965,14,1965-12-19,24-341,WAS,,PIT,W 35-14,1,6,6.00,0,,0,0,,0,0,0,,0
,,,4 Games,,,,,2-2-0,6,10,1.67,0,,3,40,13.33,0,2,8,4.00,0
