
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1961,3,1961-10-01,22-081,SFO,@,DET,W 49-0,1,1,1.00,1,0,0,,0,1,6
2,1961,4,1961-10-08,22-088,SFO,,RAM,W 35-0,4,14,3.50,0,0,0,,0,0,0
3,1961,7,1961-10-29,22-109,SFO,@,PIT,L 10-20,0,0,,0,1,20,20.00,0,0,0
4,1961,10,1961-11-19,22-130,SFO,,CHI,W 41-31,1,4,4.00,0,1,13,13.00,0,0,0
5,1961,11,1961-11-26,22-137,SFO,,MIN,W 38-28,2,-2,-1.00,0,0,0,,0,0,0
6,1961,12,1961-12-03,22-144,SFO,@,BAL,L 17-20,0,0,,0,1,11,11.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts
7,1962,5,1962-10-14,23-094,SFO,@,CHI,W 34-27,2,-2,-1.00,0,0,0,,0,0,0
8,1962,6,1962-10-21,23-101,SFO,@,GNB,L 13-31,0,0,,0,1,17,17.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts
9,1963,11,1963-11-24,24-135,SFO,@,GNB,L 10-28,0,0,,0,2,8,4.00,0,0,0
,,,9 Games,,,,,5-4-0,10,15,1.50,1,6,69,11.50,0,1,6
