
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1961,2,1961-09-17,23-137,NYT,@,BUF,L 31-41,0,0,,0,1,8,8.00,0
2,1961,4,1961-10-01,23-151,NYT,,BOS,W 37-30,0,0,,0,1,3,3.00,0
3,1961,8,1961-11-05,23-186,NYT,@,SDG,L 13-48,0,0,,0,2,33,16.50,0
4,1961,9,1961-11-11,23-192,NYT,,OAK,W 23-12,3,8,2.67,0,1,25,25.00,0
5,1961,10,1961-11-19,23-200,NYT,@,HOU,L 13-49,1,5,5.00,0,1,12,12.00,0
6,1961,11,1961-11-23,23-204,NYT,,BUF,W 21-14,0,0,,0,2,30,15.00,0
7,1961,12,1961-12-03,23-214,NYT,,DTX,W 28-7,1,2,2.00,0,0,0,,0
8,1961,13,1961-12-10,23-221,NYT,,HOU,L 21-48,6,20,3.33,0,0,0,,0
9,1961,14,1961-12-17,23-228,NYT,@,DTX,L 24-35,3,18,6.00,0,0,0,,0
,,,9 Games,,,,,4-5-0,14,53,3.79,0,8,111,13.88,0
